year,Permanent agriculture,Hard commodities,Shifting cultivation,Logging,Wildfire,Settlements/infrastructure,Other natural disturbances
2001,953.3780407804601,837.2198686234897,0,113555.55785078218,196063.76357756995,613.4198729302739,15694.845322631681
2002,914.7894566443827,755.2208083831787,0,121612.15675368629,87141.7355199453,662.6041622300093,10745.375356004508
2003,679.4517901031494,1001.6017249717084,0,120552.0363690188,132783.25639218502,820.5156284775438,5454.873819862851
2004,1409.2113116324151,1570.528631832467,0,174675.71483608364,478321.3257187273,1103.693792400022,56325.95626398217
2005,1073.032968091287,2068.3449057004323,0,135839.98054674867,534540.0856351336,998.8645658596503,21986.676828417178
2006,1676.8709476046934,3375.090771638602,0,173964.41773992166,258618.19983107343,1400.3165992093673,13114.530764667728
2007,739.4067113566559,1918.3824411172548,0,151704.0174823866,378589.3695161028,1077.6907413527663,16710.05477515687
2008,1224.4907037808287,2002.9405379090078,0,157227.55830122906,221190.09317636257,867.2299162202243,25605.887350585454
2009,600.6784595548502,2141.1840384963093,0,118056.86209745433,61018.84748366238,526.212531728372,23371.532695076414
2010,797.1784623417394,2047.8539159955792,0,125256.26892642937,154998.06423551682,474.2641924098115,21773.46006143755
2011,593.824478576361,2257.8911468096203,0,110880.47877929859,86587.84839986345,280.2311181610107,13963.892888919616
2012,1156.6437311891802,3894.9462907218426,0,166385.46637027993,189442.1096386519,548.5165695748722,16383.177458641634
2013,744.7760888397216,2770.7563759485583,0,135992.9045074998,229967.37076591857,432.387012319683,5922.59186021604
2014,897.3445639391731,3844.6055013164682,0,155294.03064725298,168203.94093431954,671.0225364811797,6151.495531847523
2015,690.5479444310805,2160.690944014151,0,157950.87049174443,292130.23319846747,691.0678122065643,1880.617518933225
2016,992.1509728049605,2890.601950436892,0,180314.96993230065,221257.86345149527,909.3594558521107,3108.4192887390136
2017,889.4513952453733,2802.831795459307,0,198162.7646109515,377989.261131816,1176.39386902771,4193.752566720654
2018,573.151249882609,2182.400696578106,0,185432.41086492923,360416.3413674826,747.8173808804022,3454.1896548981795
2019,703.3163656677247,2223.68064669564,0,178344.38747748022,238001.38562747077,797.9792060863181,7238.434451333737
2020,545.8866794158936,1937.4242619314396,0,148420.18319903308,78772.94395631703,834.0833782883228,5626.903435159302
2021,615.4014912187763,1270.5420096300193,0,170282.51245023106,239235.1496835508,1163.298544506836,4952.420909962169
2022,600.7475252031154,1006.2025010009766,0,170972.92174042022,369404.24879483855,1047.3269806358308,5961.748022615619
