year,Permanent agriculture,Hard commodities,Shifting cultivation,Logging,Wildfire,Settlements/infrastructure,Other natural disturbances
2001,953.3780407804601,837.2198686234897,0,113555.55785078218,196063.76357756995,613.4198729302739,15694.845322631681
2002,1868.1674974248426,1592.4406770066685,0,235167.71460446846,283205.49909751525,1276.0240351602831,26440.22067863619
2003,2547.619287527992,2594.042401978377,0,355719.7509734873,415988.75548970024,2096.539663637827,31895.094498499042
2004,3956.8305991604075,4164.571033810844,0,530395.4658095709,894310.0812084276,3200.2334560378486,88221.0507624812
2005,5029.863567251695,6232.9159395112765,0,666235.4463563196,1428850.166843561,4199.098021897499,110207.72759089837
2006,6706.734514856388,9608.00671114988,0,840199.8640962413,1687468.3666746344,5599.414621106866,123322.2583555661
2007,7446.141226213044,11526.389152267135,0,991903.881578628,2066057.7361907372,6677.1053624596325,140032.31313072296
2008,8670.631929993873,13529.329690176142,0,1149131.439879857,2287247.8293671,7544.335278679857,165638.20048130842
2009,9271.310389548724,15670.513728672451,0,1267188.3019773113,2348266.676850762,8070.5478104082285,189009.73317638482
2010,10068.488851890463,17718.36764466803,0,1392444.5709037406,2503264.741086279,8544.81200281804,210783.19323782236
2011,10662.313330466824,19976.25879147765,0,1503325.049683039,2589852.5894861426,8825.043120979051,224747.08612674198
2012,11818.957061656005,23871.205082199493,0,1669710.516053319,2779294.6991247945,9373.559690553924,241130.26358538363
2013,12563.733150495727,26641.96145814805,0,1805703.4205608189,3009262.069890713,9805.946702873607,247052.85544559968
2014,13461.077714434901,30486.56695946452,0,1960997.4512080718,3177466.0108250324,10476.969239354787,253204.3509774472
2015,14151.625658865982,32647.25790347867,0,2118948.3216998163,3469596.2440235,11168.03705156135,255084.96849638043
2016,15143.776631670942,35537.85985391556,0,2299263.291632117,3690854.1074749953,12077.396507413461,258193.38778511944
2017,16033.228026916315,38340.691649374865,0,2497426.056243068,4068843.3686068114,13253.790376441171,262387.1403518401
2018,16606.379276798925,40523.09234595297,0,2682858.4671079973,4429259.709974294,14001.607757321573,265841.3300067383
2019,17309.69564246665,42746.77299264861,0,2861202.8545854776,4667261.0956017645,14799.586963407892,273079.764458072
2020,17855.582321882543,44684.19725458005,0,3009623.0377845108,4746034.039558082,15633.670341696215,278706.6678932313
2021,18470.98381310132,45954.739264210075,0,3179905.550234742,4985269.189241633,16796.968886203053,283659.0888031935
2022,19071.731338304435,46960.94176521105,0,3350878.471975162,5354673.438036472,17844.295866838882,289620.8368258091
